word,phonetics,origin,definition,partOfSpeech
spectrofluorometries,ˈspek-(ˌ)trō-ˌflu̇-ˈrä-mə-tər,,a device for measuring and recording fluorescence spectra,noun
antiauthoritarianism,ˌan-tē-ȯ-ˌthär-ə-ˈter-ē-ən,,"opposed or hostile toward authority, authoritarians, or authoritarianism",adjective
counter-surveillance,ˌkau̇n-tər-sər-ˈvā-lən(t)s,,methods and devices used for detecting or thwarting surveillance —often used before another noun,noun
unreasonableness,ˌən-ˈrēz-nə-bəl,,not governed by or acting according to reason; not conformable to reason : absurd; exceeding the bounds of reason or moderation,adjective
melodramatically,ˌme-lə-drə-ˈma-tik,,"of, relating to, or characteristic of melodrama; appealing to the emotions : sensational",adjective
interchromosomal,ˌin-tər-ˌkrō-mə-ˈsō-məl,,occurring between or involving two or more chromosomes,adjective
misclassifications,ˌmis-ˌkla-sə-fə-ˈkā-shən,,an act or instance of wrongly assigning someone or something to a group or category : incorrect classification,noun
philanthropically,ˌfi-lən-ˈthrä-pik,,"of, relating to, or characterized by philanthropy : humanitarian; dispensing or receiving aid from funds set aside for humanitarian purposes",adjective
pancreatectomies,ˌpaŋ-krē-ə-ˈtek-tə-mē,,surgical removal of all or part of the pancreas,noun
nonanthropological,ˌnän-ˌan(t)-thrə-pə-ˈlä-ji-kəl,,not of or relating to anthropology : not anthropological,adjective
hyper-stimulating,ˌhī-pər-ˌstim-yə-ˈlā-shən,,excessive or extreme stimulation : the act or process of excessively stimulating something or someone,noun
supercivilization,ˌsü-pər-ˌsi-və-lə-ˈzā-shən,,a highly developed civilization : a society that has advanced to a very high level of cultural or technological development,noun
microspectrophotometries,ˌmī-krə-ˌspek-trə-fō-ˈtä-mə-tər,,a spectrophotometer adapted to the examination of light transmitted by a very small specimen (such as a single biological cell),noun
anti-vivisectionist,ˌan-tē-ˌvi-və-ˈsek-shən,,opposed to experimentation on living animals especially when considered to cause pain or distress to the subject : opposed to vivisection,adjective
recapitalization,(ˌ)rē-ˌka-pə-tə-lə-ˈzā-shən,,a revision of the capital structure of a corporation,noun
hydrodynamicists,ˌhī-drō-dī-ˈna-miks,,a branch of physics that deals with the motion of fluids and the forces acting on solid bodies immersed in fluids and in motion relative to them,noun
resolidification,(ˌ)rē-sə-ˈli-də-ˌfī,,to solidify (something) again; to become solid again,verb
anti-evolutionist,ˌan-tē-ˌe-və-ˈlü-sh(ə-)nist,,a person who rejects the biological theory of evolution,noun
demythologization,ˌdē-mi-ˈthä-lə-ˌjīz,,to divest of mythological forms in order to uncover the meaning underlying them; to divest of mythical elements or associations,verb
trichloroethylene,ˌtrī-ˌklȯr-ō-ˈe-thə-ˌlēn,,a nonflammable toxic liquid C2HCl3 used especially as an industrial solvent,noun
intellectualizing,ˌin-tə-ˈlek-chə-wə-ˌlīz,,to give rational form or content to,verb
microradiographies,ˌmī-krō-ˌrā-dē-ˈä-grə-fē,,radiography in which an X-ray photograph is prepared showing minute internal structure,noun
nonecclesiastical,ˌnän-i-ˌklē-zē-ˈa-sti-kəl,,not churchly or ecclesiastical,adjective
subjectivization,(ˌ)səb-ˈjek-ti-ˌvīz,,to make subjective,verb
triboelectricity,ˌtrī-bō-i-ˌlek-ˈtri-sə-tē,,a charge of electricity generated by friction (as by rubbing glass with silk),noun
phosphatizations,ˈfäs-fə-ˌtīz,,to treat with phosphoric acid or a phosphate; to change to a phosphate or phosphates,verb
nonconsciousnesses,ˌnän-ˈkän(t)-shəs,,not conscious : unconscious,adjective
regressivenesses,ri-ˈgre-siv,,"tending to regress or produce regression; being, characterized by, or developing in the course of an evolutionary process involving increasing simplification of bodily structure; decreasing in rate as the base increases",adjective
hyper-intellectual,ˌhī-pər-ˌin-tə-ˈlek-chə-wəl,,extremely or excessively intellectual,adjective
counterinterpretation,ˌkau̇n-tər-in-ˌtər-prə-ˈtā-shən,,an alternative or contradictory interpretation,noun
overstimulations,ˌō-vər-ˈstim-yə-ˌlāt,,to stimulate to an excessive or abnormal degree,verb
coadministrations,ˌkō-əd-ˌmi-nə-ˈstrā-shən,,the administration of two or more drugs together,noun
subclassifications,ˌsəb-ˌkla-sə-fə-ˈkā-shən,,a primary division of a classification; arrangement into or assignment to subclassifications,noun
indispensablenesses,ˌin-di-ˈspen(t)-sə-bəl,,absolutely necessary : essential; not subject to being set aside or neglected,adjective
unenthusiastically,ˌən-in-ˌthü-zē-ˈa-stik,,having or showing a lack of excitement or enthusiasm : not enthusiastic,adjective
undesirablenesses,ˌən-di-ˈzī-rə-bəl,,not desirable : unwanted,adjective
spectroheliogram,ˌspek-trō-ˈhē-lē-ə-ˌgram,,"[""a photograph of the sun that is made by monochromatic light and shows the sun's faculae and prominences""]",noun
reestablishments,(ˌ)rē-i-ˈsta-blish,,to establish (something or someone) again,verb
undenominational,ˌən-di-ˌnä-mə-ˈnā-sh(ə-)nəl,,not restricted or belonging to a religious denomination : not denominational,adjective
superintellectuals,ˌsü-pər-ˌin-tə-ˈlek-chə-wəl,,extremely intellectual; existing beyond or transcending intellect,adjective
nonanthropologically,ˌnän-ˌan(t)-thrə-pə-ˈlä-ji-kəl,,not of or relating to anthropology : not anthropological,adjective
disputatiousness,ˌdi-spyə-ˈtā-shəs,,inclined to dispute; marked by disputation; provoking debate : controversial,adjective
superfecundation,ˌsü-pər-ˌfe-kən-ˈdā-shən,,successive fertilization of two or more ova from the same ovulation especially by different sires; fertilization at one time of a number of ova excessive for the species,noun
inharmoniousness,ˌin-(ˌ)här-ˈmō-nē-əs,,not harmonious : discordant; not fitting or congenial : conflicting,adjective
dephosphorylates,(ˌ)dē-ˌfäs-fȯr-ə-ˈlā-shən,,the process of removing phosphate groups from an organic compound (such as ATP) by hydrolysis; also : the resulting state,noun
intellectualized,ˌin-tə-ˈlek-chə-wə-ˌlīz,,to give rational form or content to,verb
antiabortionists,ˌan-tē-ə-ˈbȯr-shən,,opposed to abortion and especially to the legalization of abortion,adjective
transformationalist,ˌtran(t)s-fər-ˈmā-shnə-list,,an exponent of transformational grammar,noun
trichloroethylenes,ˌtrī-ˌklȯr-ō-ˈe-thə-ˌlēn,,a nonflammable toxic liquid C2HCl3 used especially as an industrial solvent,noun
electrodeposition,,,"to deposit (a substance, such as a metal or rubber) by electrolysis",verb
re-presentations,ˌrē-pri-ˈzent,,to present again or anew,verb
superintellectual,ˌsü-pər-ˌin-tə-ˈlek-chə-wəl,,extremely intellectual; existing beyond or transcending intellect,adjective
electrochemically,i-ˌlek-trō-ˈke-mə-strē,,a science that deals with the relation of electricity to chemical changes and with the interconversion of chemical and electrical energy,noun
nondenominationalisms,ˌnän-di-ˌnä-mə-ˈnā-shnəl,,not restricted to a denomination : not denominational,adjective
anti-libertarian,ˌan-tē-ˌli-bər-ˈter-ē-ən,,opposed to or hostile toward libertarian principles,noun
unconstitutionality,ˌən-ˌkän(t)-stə-ˈtü-sh(ə-)nəl,,not according or consistent with the constitution of a body politic (such as a nation),adjective
counter-conspiracies,ˌkau̇n-tər-kən-ˈspir-ə-sē,,a conspiracy to oppose or undermine something (such as another conspiracy),noun
overconsumptions,ˌō-vər-kən-ˈsəm(p)-shən,,excessive consumption or use of something,noun
hemispherectomies,ˌhe-mi-sfi-ˈrek-tə-mē,,surgical removal of a cerebral hemisphere,noun
counter-mobilizations,ˌkau̇n-tər-ˌmō-bə-lə-ˈzā-shən,,a mobilization in opposition to something,noun
stenographically,stə-ˈnä-grə-fē,,the art or process of writing in shorthand; shorthand especially written from dictation or oral discourse; the making of shorthand notes and subsequent transcription of them,noun
disqualifications,(ˌ)dis-ˌkwä-lə-fə-ˈkā-shən,,something that disqualifies or incapacitates; the act of disqualifying : the state of being disqualified,noun
multimillionaire,ˌməl-tē-ˌmi(l)-yə-ˈner,,a person whose wealth amounts to many millions (as of dollars or pounds),noun
recapitalizations,(ˌ)rē-ˌka-pə-tə-lə-ˈzā-shən,,a revision of the capital structure of a corporation,noun
anticommercialism,ˌan-tē-kə-ˈmər-shəl,,unconcerned with or hostile toward commercial interests or commercialism,adjective
gastroenteritises,ˌga-strō-ˌen-tə-ˈrī-təs,,"inflammation of the lining membrane of the stomach and the intestines characterized especially by nausea, vomiting, diarrhea, and cramps",noun
overenthusiastic,ˌō-vər-in-ˌthü-zē-ˈa-stik,,having or showing an excessive degree of enthusiasm : overly enthusiastic,adjective
photophosphorylation,ˈfō-tō-ˌfäs-ˌfȯr-ə-ˈlā-shən,,the synthesis of ATP from ADP and phosphate that occurs in a plant using radiant energy absorbed during photosynthesis,noun
radiographically,ˈrā-dē-ō-ˌgraf,,a picture produced on a sensitive surface by a form of radiation other than visible light; specifically : an X-ray or gamma ray photograph,noun
anti-totalitarian,ˌan-tē-(ˌ)tō-ˌta-lə-ˈter-ē-ən,,opposed to totalitarianism,adjective
unconsciousnesses,ˌən-ˈkän(t)-shəs,,"having lost consciousness; not marked by conscious thought, sensation, or feeling; of or relating to the unconscious",adjective
dephosphorylation,(ˌ)dē-ˌfäs-fȯr-ə-ˈlā-shən,,the process of removing phosphate groups from an organic compound (such as ATP) by hydrolysis; also : the resulting state,noun
ultraprofessionalism,ˌəl-trə-prə-ˈfesh-nəl,,"exhibiting an extremely courteous, conscientious, and generally businesslike manner in the workplace : extremely professional",adjective
antirationalities,ˌan-tē-ˈra-sh(ə-)nəl,,opposed or contrary to what is rational : deliberately or utterly irrational,adjective
ultraprofessionalisms,ˌəl-trə-prə-ˈfesh-nəl,,"exhibiting an extremely courteous, conscientious, and generally businesslike manner in the workplace : extremely professional",adjective
compartmentalization,kəm-ˌpärt-ˈmen-tə-ˌlīz,,to separate into isolated compartments or categories,verb
interchangeability,ˌin-tər-ˈchān-jə-bəl,,capable of being interchanged; especially : permitting mutual substitution,adjective
inconsequentiality,(ˌ)in-ˌkän(t)-sə-ˈkwen(t)-shəl,,of no significance : unimportant; irrelevant; illogical,adjective
remilitarizations,(ˌ)rē-ˈmi-lə-tə-ˌrīz,,to militarize again,verb
counteraccusation,ˌkau̇n-tər-ˌa-kyə-ˈzā-shən,,an accusation made in response to another accusation : a charge of wrongdoing or fault made toward a person or group who originally made such a charge,noun
histophysiological,ˌhi-stō-ˌfi-zē-ˈä-lə-jē,,a branch of physiology concerned with the function and activities of tissues; structural and functional tissue organization,noun
constitutionalization,ˌkän(t)-stə-ˈtü-shnə-ˌlīz,,to provide with a constitution : organize along constitutional principles,verb
indiscriminatenesses,ˌin-di-ˈskri-mə-nət,,"not marked by careful distinction : deficient in discrimination and discernment; haphazard, random; promiscuous, unrestrained",adjective
superconservative,ˌsü-pər-kən-ˈsər-və-tiv,,"extremely conservative; especially : very strongly favoring, adhering to, or based upon the principles of conservatism (as in politics or religion)",adjective
organophosphorous,ˌȯr-gə-nō-ˈfäs-f(ə-)rəs,,"of, relating to, or being a phosphorus-containing organic compound and especially a pesticide (such as malathion) that acts by inhibiting cholinesterase",adjective
anti-administration,ˌan-tē-əd-ˌmi-nə-ˈstrā-shən,,opposed to the administrative branch of a government or to its policies,adjective
hyperconcentrated,ˌhī-pər-ˈkän(t)-sən-ˌtrā-təd,,extremely or excessively concentrated,adjective
nonproliferation,ˌnän-prə-ˌli-fə-ˈrā-shən,,providing for the stoppage of proliferation (as of nuclear arms),adjective
monotheistically,ˈmä-nə-(ˌ)thē-ˌi-zəm,,the doctrine or belief that there is but one God,noun
counterinstitution,ˌkau̇n-tər-ˌin(t)-stə-ˈtü-shən,,an institution formed to oppose or counteract another institution,noun
demythologizations,ˌdē-mi-ˈthä-lə-ˌjīz,,to divest of mythological forms in order to uncover the meaning underlying them; to divest of mythical elements or associations,verb
anti-institutional,ˌan-tē-ˌin(t)-stə-ˈt(y)ü-sh(ə-)nəl,,characterized by or expressing opposition toward institutions,adjective
